City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,east london,-33.0153,27.9116,287.67,82,20,8.75,ZA,1712860254
118,itamarandiba,-17.8572,-42.8589,300.27,59,49,2.15,BR,1712860040
119,jackson,42.4165,-122.8345,290.58,54,0,1.54,US,1712860020
120,saldanha,-33.0117,17.9442,292.18,53,6,5.48,ZA,1712860255
121,white meadow lake,40.9237,-74.5107,291.9,82,100,2.57,US,1712860255
122,chai badan,15.2,101.1333,303.78,59,39,2.89,TH,1712860255
123,nuuk,64.1835,-51.7216,271.49,93,100,1.79,GL,1712860256
124,glubokoye,50.1456,82.3114,276.01,93,100,6.0,KZ,1712860256
125,vilyuysk,63.7553,121.6247,258.15,95,100,3.13,RU,1712860256
126,sandy,40.572,-111.8606,292.0,28,0,5.14,US,1712860010
127,constantia,44.1833,28.65,289.65,64,2,1.25,RO,1712860210
128,praia da vitoria,38.7333,-27.0667,293.29,73,40,2.7,PT,1712860257
129,rumphi,-11.0186,33.8575,293.03,92,100,1.42,MW,1712860257
130,jamestown,42.097,-79.2353,294.92,75,100,7.72,US,1712860257
131,thanh hoa,19.8,105.7667,296.47,97,100,1.82,VN,1712860257
132,east wenatchee bench,47.4257,-120.2812,288.17,54,0,1.54,US,1712860258
133,bandar abbas,27.1865,56.2808,299.14,73,30,2.06,IR,1712860258
134,kedrovyy,56.1667,91.8167,270.38,90,100,2.18,RU,1712860258
135,mili,6.0815,171.735,300.18,87,100,8.34,MH,1712860258
136,zeya,53.75,127.2667,273.42,79,100,2.01,RU,1712860259
137,carutapera,-1.195,-46.02,302.12,79,27,3.11,BR,1712860259
138,champerico,14.3,-91.9167,308.45,62,93,5.61,GT,1712860259
139,nusaybin,37.0778,41.2178,287.92,82,0,2.02,TR,1712860259
140,lebu,-37.6167,-73.65,287.93,66,1,2.88,CL,1712860260
141,sydney mines,46.2367,-60.2177,283.71,42,20,7.72,CA,1712860260
142,taulaga,-11.0553,-171.0883,302.87,74,92,3.41,AS,1712860260
143,lata,40.1629,-8.3327,299.77,73,89,1.55,PT,1712860260
144,fuglafjordur,62.244,-6.814,282.41,91,100,11.2,FO,1712860261
145,kingston,17.997,-76.7936,304.68,66,20,11.32,JM,1712860123
146,skanor med falsterbo,55.4,12.85,286.05,97,100,8.97,SE,1712860261
147,klaksvik,62.2266,-6.589,282.66,93,100,13.54,FO,1712860261
148,el calafate,-50.3408,-72.2768,282.55,50,6,2.45,AR,1712860262
149,isangel,-19.55,169.2667,298.21,94,40,0.0,VU,1712860263
150,mount gambier,-37.8333,140.7667,285.66,64,100,1.72,AU,1712860263
151,saurimo,-9.6608,20.3916,294.57,85,86,0.5,AO,1712860263
152,qaqortoq,60.7167,-46.0333,270.45,75,89,2.18,GL,1712860264
153,hilo,19.7297,-155.09,295.51,99,100,1.54,US,1712860264
154,summerside,46.3959,-63.7876,284.64,66,95,3.6,CA,1712860036
155,hithadhoo,-0.6,73.0833,302.27,73,100,2.46,MV,1712860265
156,pekan,3.4836,103.3996,299.21,83,63,3.18,MY,1712860265
157,ilulissat,69.2167,-51.1,267.16,79,75,1.54,GL,1712860265
158,newman,37.3138,-121.0208,298.17,55,15,1.27,US,1712860266
159,krasnyy yar,46.5331,48.3456,288.11,53,100,2.84,RU,1712860266
160,taounate,34.5,-4.8333,292.74,49,19,2.69,MA,1712860266
161,dunedin,-45.8742,170.5036,280.82,99,100,2.24,NZ,1712860266
162,thompson,55.7435,-97.8558,275.24,75,100,4.63,CA,1712860267
163,yavatmal,20.4,78.1333,301.31,42,99,3.12,IN,1712860267
164,qamdo,31.1667,97.2333,272.32,54,90,1.85,CN,1712860267
165,fortuna,40.5982,-124.1573,286.47,88,100,3.6,US,1712860138
166,umluj,25.0213,37.2685,297.48,55,0,5.39,SA,1712860268
167,sinabang,2.4803,96.3801,300.27,84,100,1.46,ID,1712860268
168,dubbo,-32.25,148.6167,285.22,87,0,4.63,AU,1712860148
169,san antonio de pale,-1.4014,5.6325,299.93,84,100,8.32,GQ,1712860268
170,tirmiz,37.2242,67.2783,297.2,35,40,2.06,UZ,1712859977
171,chernyshevsk,52.5243,117.0174,277.85,89,100,1.64,RU,1712860269
172,eyl,7.9803,49.8164,301.36,82,100,4.06,SO,1712860269
173,hermanus,-34.4187,19.2345,288.04,70,12,7.9,ZA,1712860270
174,kijang,35.2442,129.2139,282.0,93,63,1.85,KR,1712860270
175,andergrove,-21.0833,149.1833,290.73,78,3,4.15,AU,1712860271
176,santander,43.4647,-3.8044,288.77,74,0,5.36,ES,1712860081
177,hammerfest,70.6634,23.6821,274.4,93,75,5.14,NO,1712860271
178,sola,-13.8833,167.55,301.21,79,100,4.99,VU,1712860271
179,nacaome,13.5361,-87.4875,313.28,19,19,3.93,HN,1712860271
180,kasongo-lunda,-6.4667,16.8167,296.88,95,100,0.73,CD,1712860272
181,bignona,12.8103,-16.2264,302.17,34,3,7.54,SN,1712860272
182,fale old settlement,-9.3852,-171.2468,302.56,77,34,2.75,TK,1712860272
183,carnarvon,-24.8667,113.6333,294.84,63,100,10.35,AU,1712860272
184,tangalle,6.024,80.7911,299.24,87,100,3.39,LK,1712860273
185,tympaki,35.0729,24.7685,291.54,65,0,2.24,GR,1712860273
186,uturoa,-16.7333,-151.4333,301.71,79,19,7.43,PF,1712860273
187,shimoda,34.6667,138.95,285.99,87,68,5.1,JP,1712860274
188,mahina,-17.5065,-149.489,302.02,74,75,0.0,PF,1712860122
189,ad-damazin,11.7891,34.3592,307.15,13,3,5.16,SD,1712860274
190,remire-montjoly,4.9167,-52.2667,303.17,74,75,6.69,GF,1712860274
191,polyarnyy,69.1989,33.4478,274.63,99,100,10.27,RU,1712860275
192,bichura,50.5881,107.6022,279.09,73,100,1.05,RU,1712860275
193,vadso,70.0744,29.7487,275.64,80,40,4.12,NO,1712860275
194,tromso,69.6496,18.957,276.16,87,100,2.06,NO,1712860133
195,mount isa,-20.7333,139.5,284.02,71,0,2.57,AU,1712860275
196,lodwar,3.1191,35.5973,301.72,65,96,9.86,KE,1712860276
197,tura,25.5198,90.2201,298.11,36,100,1.29,IN,1712860276
198,jutai,-5.1833,-68.9,300.37,83,100,1.28,BR,1712860276
199,egilsstadir,65.2653,-14.3948,274.1,93,100,7.72,IS,1712860276
200,vila velha,-20.3297,-40.2925,304.12,80,20,4.63,BR,1712859979
201,port lincoln,-34.7333,135.8667,287.29,75,100,3.2,AU,1712860277
202,el coronil,37.0795,-5.6341,299.33,64,30,3.2,ES,1712860277
203,pisco,-13.7,-76.2167,298.18,73,0,4.12,PE,1712860277
204,quellon,-43.1167,-73.6167,286.07,53,0,1.53,CL,1712860277
205,belousovka,50.1339,82.5239,275.62,93,100,6.0,KZ,1712860278
206,mut,36.6439,33.4389,291.98,49,10,2.67,TR,1712860278
207,aripuana,-9.1667,-60.6333,301.82,90,100,0.48,BR,1712860278
208,dzhalagash,45.0833,64.6667,284.85,61,98,7.68,KZ,1712860279
209,georgetown,5.4112,100.3354,301.11,83,20,1.54,MY,1712860223
210,sonoita,31.85,-112.8333,301.56,10,0,1.42,MX,1712860279
211,nahiyat ash shinafiyah,31.5874,44.6602,297.61,32,0,3.58,IQ,1712860279
212,pandan,14.0453,124.1694,298.67,87,99,3.3,PH,1712860280
213,sao jose de ribamar,-2.5619,-44.0542,300.36,78,76,2.93,BR,1712860280
214,vorkuta,67.5,64.0,263.77,87,100,12.07,RU,1712860193
215,bengbu,32.9408,117.3608,288.82,94,99,1.89,CN,1712860280
216,dauphin,51.1494,-100.0502,282.23,66,75,3.09,CA,1712860192
217,nogliki,51.8333,143.1667,276.67,88,0,5.36,RU,1712860281
218,sarmiento,-45.5882,-69.07,287.3,28,0,2.27,AR,1712860246
219,tambopata,-12.7333,-69.1833,306.09,62,75,4.63,PE,1712860282
220,pilibhit,28.6333,79.8,298.1,12,0,1.82,IN,1712860282
221,stanthorpe,-28.6667,151.95,285.05,96,0,2.56,AU,1712860283
222,weno,7.4515,151.8468,301.12,83,100,3.09,FM,1712860283
223,stanley,54.868,-1.6985,286.88,79,40,5.14,GB,1712860156
224,makarov,48.6333,142.8,276.25,90,21,4.65,RU,1712860284
225,lerwick,60.1545,-1.1494,282.15,89,100,6.09,GB,1712860284
226,trairi,-3.2778,-39.2689,301.26,81,100,2.88,BR,1712860204
227,morondava,-20.2833,44.2833,299.99,71,82,7.05,MG,1712860285
228,nyurba,63.2842,118.3319,253.97,98,82,2.7,RU,1712860285
229,prince rupert,54.3161,-130.3201,278.2,85,75,7.72,CA,1712860285
230,chonchi,-42.6128,-73.8092,290.71,44,0,1.17,CL,1712860286
231,tazovsky,67.4667,78.7,248.14,98,17,4.01,RU,1712859989
232,callao,-12.0667,-77.15,299.31,69,0,4.12,PE,1712860178
233,aykhal,66.0,111.5,245.1,100,100,2.68,RU,1712860287
234,lihue,21.9789,-159.3672,298.73,91,75,1.54,US,1712860288
235,new norfolk,-42.7826,147.0587,284.87,87,71,1.31,AU,1712860288
236,forster,-32.1667,152.5167,284.42,100,37,4.11,AU,1712860250
237,paczkow,50.464,17.0066,285.53,73,0,0.93,PL,1712860288
238,zakamensk,50.3741,103.2863,275.35,61,100,1.29,RU,1712860289
239,kismayo,-0.3582,42.5454,302.66,77,20,3.67,SO,1712860289
240,de panne,51.0792,2.5917,287.62,87,100,5.14,BE,1712860289
241,yuzhno-kurilsk,44.0306,145.8556,277.8,76,100,4.58,RU,1712860290
242,takeo,10.9167,104.8333,300.92,72,99,3.1,KH,1712860290
243,nsanje,-16.92,35.262,295.83,96,100,2.26,MW,1712860290
244,mount pearl,47.5166,-52.7813,278.89,68,20,4.12,CA,1712859991
245,basse-terre,16.1667,-61.6667,302.73,62,1,5.14,GP,1712860291
246,bay roberts,47.5999,-53.2648,279.55,70,2,3.13,CA,1712860275
247,camana,-16.6228,-72.7111,296.15,77,6,3.32,PE,1712860291
248,baiti,13.745,-14.7482,312.93,12,11,2.48,SN,1712860291
249,kimbe,-5.5502,150.1429,297.27,93,80,1.38,PG,1712860292
250,red deer,52.2668,-113.802,282.42,37,20,8.75,CA,1712860292
251,berdigestyakh,62.0989,126.6992,263.33,94,100,3.86,RU,1712860292
252,mar del plata,-38.0023,-57.5575,287.16,64,75,3.6,AR,1712860025
253,touros,-5.1989,-35.4608,302.69,71,77,3.3,BR,1712860128
254,dingwall,57.5953,-4.4272,288.64,72,100,3.95,GB,1712860293
255,fort bragg,35.139,-79.006,297.0,71,100,6.69,US,1712860294
256,waingapu,-9.6567,120.2641,298.24,79,84,3.06,ID,1712860294
257,guiuan,11.0333,125.7247,300.7,77,100,4.62,PH,1712860294
258,brookings,44.3114,-96.7984,281.58,80,98,1.34,US,1712860001
259,ancud,-41.8697,-73.8203,287.87,50,0,2.28,CL,1712860294
260,sitka,57.0531,-135.33,277.09,70,20,3.09,US,1712860295
261,luganville,-15.5333,167.1667,297.95,87,16,0.89,VU,1712860295
262,petawawa,45.9001,-77.3328,283.92,83,100,2.57,CA,1712860066
263,westport,41.1415,-73.3579,289.99,91,100,6.69,US,1712860080
264,phai sali,15.5976,100.6585,305.59,50,0,3.96,TH,1712860296
265,hamilton,39.1834,-84.5333,293.26,87,100,5.14,US,1712860093
266,miedzyrzec podlaski,51.9864,22.7825,284.12,61,88,3.01,PL,1712860296
267,walvis bay,-22.9575,14.5053,290.84,77,12,0.47,NA,1712860297
268,melfort,52.8667,-104.6177,276.22,70,100,3.6,CA,1712860297
269,santa elena de uairen,4.6167,-61.1333,304.47,32,93,3.24,VE,1712860297
270,arraial do cabo,-22.9661,-42.0278,303.13,78,20,5.66,BR,1712860298
271,saipan,15.1355,145.701,300.54,78,20,6.17,MP,1712860298
272,xapuri,-10.6517,-68.5044,302.93,69,100,0.47,BR,1712860298
273,yamba,-5.9,22.3,298.48,81,100,1.15,CD,1712860299
274,khilok,51.3674,110.4676,273.31,73,98,1.04,RU,1712860299
275,flying fish cove,-10.4217,105.6791,299.97,89,75,4.12,CX,1712860155
276,apolinario saravia,-24.4328,-63.9954,288.59,94,100,5.39,AR,1712860299
277,pavilosta,56.8879,21.1859,281.1,97,100,10.09,LV,1712860300
278,okha,53.5739,142.9478,271.62,96,76,4.02,RU,1712860189
279,kavieng,-2.5744,150.7967,300.01,82,96,1.48,PG,1712860301
280,iguape,-24.7081,-47.5553,299.59,75,95,4.04,BR,1712860146
281,wangqing,43.3218,129.7634,278.8,92,3,1.86,CN,1712860301
282,hotan,37.0997,79.9269,290.78,13,1,1.91,CN,1712860301
283,tidjikja,18.5564,-11.4271,309.07,12,0,4.28,MR,1712860302
284,nabire,-3.3667,135.4833,297.13,96,100,0.57,ID,1712860302
285,songyuan,45.1171,124.8568,285.84,69,100,8.32,CN,1712860302
286,luang namtha,20.9497,101.4011,297.2,50,11,0.71,LA,1712860204
287,sandnessjoen,66.0217,12.6316,278.38,70,40,1.03,NO,1712860303
288,itaituba,-4.2761,-55.9836,305.24,66,40,4.12,BR,1712860303
289,labytnangi,66.6572,66.4183,263.36,86,100,8.62,RU,1712860303
290,krabi,8.0726,98.9105,299.26,78,20,0.51,TH,1712860215
291,heroica guaymas,27.9333,-110.9,302.85,29,20,4.12,MX,1712860304
292,farshut,26.0549,32.1633,297.38,26,8,5.36,EG,1712860304
293,punta del este,-34.9667,-54.95,290.91,70,100,2.68,UY,1712860202
294,upata,8.0086,-62.3989,307.2,36,72,4.19,VE,1712860304
295,enewetak,11.3474,162.3373,300.11,79,88,10.35,MH,1712860305
296,marsabit,2.3284,37.9899,295.84,64,29,2.96,KE,1712860239
297,klyuchi,52.2667,79.1667,272.57,84,100,6.51,RU,1712860305
298,mejit,10.2753,170.8646,299.64,76,100,8.46,MH,1712860305
299,gannan,47.9147,123.5031,287.31,49,100,6.11,CN,1712860306
300,extrema,-22.8547,-46.3183,296.72,75,100,2.2,BR,1712860306
301,christchurch,-43.5333,172.6333,284.21,95,75,8.23,NZ,1712860258
302,queenstown,-31.8976,26.8753,279.76,74,0,1.45,ZA,1712860306
303,centralia,46.7162,-122.9543,286.46,72,0,1.54,US,1712860306
304,katsuren-haebaru,26.3369,127.8719,294.16,91,20,1.54,JP,1712860307
305,grand falls-windsor,48.9332,-55.6649,281.34,36,4,4.93,CA,1712860307
306,ta`u,-14.2336,-169.5144,301.99,78,8,3.66,AS,1712860307
307,tomatlan,19.9333,-105.25,306.27,30,15,4.63,MX,1712860308
308,vila franca do campo,37.7167,-25.4333,291.42,99,6,2.16,PT,1712860309
309,stettler,52.3168,-112.7186,284.68,30,100,9.77,CA,1712860309
310,hikari,33.955,131.95,285.7,81,100,1.72,JP,1712860309
311,coquimbo,-29.9533,-71.3436,287.0,94,100,4.12,CL,1712860010
312,gorontalo,0.5412,123.0595,295.69,89,98,1.64,ID,1712860310
313,manggar,-2.8833,108.2667,300.02,85,100,1.18,ID,1712860310
314,howard springs,-12.497,131.047,297.1,84,100,2.03,AU,1712860310
315,la rioja,42.25,-2.5,291.03,77,68,1.47,ES,1712860310
316,afaahiti,-17.75,-149.2833,301.08,85,100,7.76,PF,1712860311
317,noumea,-22.2763,166.4572,298.71,99,100,0.97,NC,1712860210
318,nar'yan-mar,67.6713,53.087,274.88,100,100,7.6,RU,1712860311
319,lauro de freitas,-12.8944,-38.3272,303.16,66,40,5.14,BR,1712860230
320,taltal,-25.4,-70.4833,292.88,74,100,3.24,CL,1712860220
321,gazojak,41.1875,61.4036,292.87,32,100,4.49,TM,1712860312
322,luderitz,-26.6481,15.1594,293.6,56,0,3.91,NA,1712860312
323,modimolle,-24.7,28.4,290.37,65,43,3.27,ZA,1712860312
324,naduvattam,11.4833,76.5667,289.15,69,3,1.7,IN,1712860313
325,nantucket,41.2835,-70.0995,284.23,99,100,3.6,US,1712860225
326,ambalangoda,6.2355,80.0538,300.44,82,100,2.65,LK,1712860313
327,la'ie,21.6477,-157.9253,297.65,83,100,4.92,US,1712860313
328,yorkton,51.2167,-102.4677,280.06,61,75,6.17,CA,1712860314
329,nichinan,31.6,131.3667,290.97,90,100,4.29,JP,1712860314
330,nouadhibou,20.931,-17.0347,296.14,68,0,7.2,MR,1712860314
331,kitahiroshima,42.9758,141.5672,280.16,71,100,4.16,JP,1712860315
332,birao,10.2849,22.7882,303.55,9,14,2.68,CF,1712860315
333,anshun,26.25,105.9333,289.08,92,100,3.21,CN,1712860315
